Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
61112,Live Working – Electrical Insulating Blankets Travaux Sous Tension – Nappes Isolantes Électriques,Ed. 1,ULC,"August 10, 2012",ululc,False,,Live Working – Electrical Insulating Blankets Travaux Sous Tension – Nappes Isolantes Électriques,Electrical Insulating Blankets Travaux Sous,Insulating Blankets Travaux Sous Tension,Electrical Insulating Blankets Travaux,Blankets Travaux Sous Tension,Insulating Blankets Travaux Sous
61131- 2,Programmable Controllers - Part 2: Equipment Requirements And Tests,Ed. 2,UL,"June 05, 2008",uliec,True,,Programmable Controllers - Part 2: Equipment Requirements And Tests,Equipment Requirements And Tests,Equipment Requirements,Requirements And Tests,Programmable Controllers,Part
61215- 1,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1: Test Requirements,Ed. 2,UL,"July 28, 2021",uliec,True,,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1: Test Requirements,Design Qualification And Type Approval,Design Qualification And Type,Qualification And Type Approval,Test Requirements,Design Qualification
61215- 1-1,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-1: Special Requirements for Testing of Crystalline Silicon Photovoltaic (Pv) Modules,Ed. 2,UL,"July 28, 2021",uliec,True,,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-1: Special Requirements for Testing of Crystalline Silicon Photovoltaic (Pv) Modules,Design Qualification And Type Approval,Testing of Crystalline Silicon Photovoltaic,Design Qualification And Type,Qualification And Type Approval,Special Requirements for Testing
61215- 1-2,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-2: Special Requirements for Testing of Thin-Film Cadmium Telluride (Cdte) Based Photovoltaic (Pv) Modules,Ed. 2,UL,"July 28, 2021",uliec,True,,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-2: Special Requirements for Testing of Thin-Film Cadmium Telluride (Cdte) Based Photovoltaic (Pv) Modules,Design Qualification And Type Approval,Testing of Thin-Film Cadmium Telluride,Design Qualification And Type,Qualification And Type Approval,Special Requirements for Testing
61215- 1-3,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-3: Special Requirements for Testing of Thin-Film Amorphous Silicon Based Photovoltaic (Pv) Modules,Ed. 2,UL,"July 28, 2021",uliec,True,,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-3: Special Requirements for Testing of Thin-Film Amorphous Silicon Based Photovoltaic (Pv) Modules,Thin-Film Amorphous Silicon Based Photovoltaic,Design Qualification And Type Approval,Amorphous Silicon Based Photovoltaic,Testing of Thin-Film Amorphous Silicon,Thin-Film Amorphous Silicon Based
61215- 1-4,"Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-4: Special Requirements for Testing of Thin-Film Cu(In,Ga)(S,Se)2 Based Photovoltaic (Pv) Modules",Ed. 2,UL,"July 28, 2021",uliec,True,,"Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 1-4: Special Requirements for Testing of Thin-Film Cu(In,Ga)(S,Se)2 Based Photovoltaic (Pv) Modules",Design Qualification And Type Approval,Design Qualification And Type,Qualification And Type Approval,Special Requirements for Testing,Requirements for Testing of Thin-Film
61215- 2,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 2: Test Procedures,Ed. 2,UL,"July 28, 2021",uliec,True,,Terrestrial Photovoltaic (Pv) Modules - Design Qualification And Type Approval - Part 2: Test Procedures,Design Qualification And Type Approval,Design Qualification And Type,Qualification And Type Approval,Test Procedures,Design Qualification
61229,Rigid Protective Covers for Live Working On A.C. Installations Protecteurs Rigides Pour Travaux Sous Tension Sur Des Installations À Courant Alternatif,Ed. 1,ULC,"August 10, 2012",ululc,False,,Rigid Protective Covers for Live Working On A.C. Installations Protecteurs Rigides Pour Travaux Sous Tension Sur Des Installations À Courant Alternatif,Protective Covers for Live Working,Rigid Protective Covers for Live,Protective Covers for Live,Covers for Live Working,Rigid Protective Covers
61230,Live Working -- Portable Equipment for Grounding And Bonding Travaux Sous Tension -- Dispositifs Portables Pour La Mise À La Terre Et La Continuité Des Masses,Ed. 1,ULC,"August 10, 2012",ululc,False,,Live Working -- Portable Equipment for Grounding And Bonding Travaux Sous Tension -- Dispositifs Portables Pour La Mise À La Terre Et La Continuité Des Masses,Bonding Travaux Sous Tension,Dispositifs Portables Pour La Mise,Grounding And Bonding Travaux Sous,Travaux Sous Tension,Continuité Des Masses
61235,Live Working -- Insulating Hollow Tubes for Electrical Purposes Travaux Sous Tension -- Tubes Creux Isolants Pour Travaux Electriques,Ed. 1,ULC,"August 10, 2012",ululc,True,,Live Working -- Insulating Hollow Tubes for Electrical Purposes Travaux Sous Tension -- Tubes Creux Isolants Pour Travaux Electriques,Electrical Purposes Travaux Sous Tension,Creux Isolants Pour Travaux Electriques,Tubes Creux Isolants Pour Travaux,Purposes Travaux Sous Tension,Isolants Pour Travaux Electriques
61236,"Live Working – Saddles, Stick Clamps And Their Accessories Travaux Sous Tension – Selles, Manchons Et Leurs Accessoires",Ed. 3,ULC,"May 01, 2014",ululc,False,,"Live Working – Saddles, Stick Clamps And Their Accessories Travaux Sous Tension – Selles, Manchons Et Leurs Accessoires",Accessories Travaux Sous Tension,Manchons Et Leurs Accessoires,Stick Clamps And Their Accessories,Travaux Sous Tension,Clamps And Their Accessories Travaux
61243- 1,Live Working - Voltage Detectors - Part 1: Capacitive Type To Be Used for Voltages Exceeding 1 Kv Ac / Travaux Sous Tension - Détecteurs De Tension - Partie 1: Type Capacitif Pour Usage Sur Des Tensions Alternatives De Plus De 1 Kv,Ed. 3,ULC,"April 18, 2023",canulc,False,,Live Working - Voltage Detectors - Part 1: Capacitive Type To Be Used for Voltages Exceeding 1 Kv Ac,Capacitive Type,Live Working,Voltage Detectors,Voltages Exceeding,Part
61243- 2,Live Working -- Voltage Detectors -- Part 2: Resistive Type To Be Used for Voltages Exceeding 1 Kv To 36 Kv A.C. Travaux Sous Tension -- Détecteurs De Tension -- Partie 2: Type Résistif Pour Usage Sur Des Tensions Alternatives De 1 Kv À 36 Kv,Ed. 1,ULC,"August 10, 2012",ululc,False,,Live Working -- Voltage Detectors -- Part 2: Resistive Type To Be Used for Voltages Exceeding 1 Kv To 36 Kv A.C. Travaux Sous Tension -- Détecteurs De Tension -- Partie 2: Type Résistif Pour Usage Sur Des Tensions Alternatives De 1 Kv À 36 Kv,Type Résistif Pour Usage Sur,Résistif Pour Usage Sur Des,Pour Usage Sur Des Tensions,Usage Sur Des Tensions Alternatives,Type Résistif Pour Usage
61243- 3,Live Working – Voltage Detectors – Part 3: Two-Pole Low-Voltage Type Travaux Sous Tension – Détecteurs De Tension - Partie 3: Type Bipolaire Basse Tension,Ed. 1,ULC,"August 10, 2012",ululc,False,,Live Working – Voltage Detectors – Part 3: Two-Pole Low-Voltage Type Travaux Sous Tension – Détecteurs De Tension - Partie 3: Type Bipolaire Basse Tension,Low-Voltage Type Travaux Sous Tension,Two-Pole Low-Voltage Type Travaux Sous,Type Travaux Sous Tension,Type Bipolaire Basse Tension,Low-Voltage Type Travaux Sous
61318,"Live Working - Conformity Assessment Applicable To Tools, Devices And Equipment Travaux Sous Tension - Évaluation De La Conformité Applicable À L'Outillage, Au Matériel Et Aux Dispositifs",Ed. 1,ULC,"August 10, 2012",ululc,False,,"Live Working - Conformity Assessment Applicable To Tools, Devices And Equipment Travaux Sous Tension - Évaluation De La Conformité Applicable À L'Outillage, Au Matériel Et Aux Dispositifs",Devices And Equipment Travaux Sous,Equipment Travaux Sous Tension,Conformity Assessment Applicable To Tools,Devices And Equipment Travaux,Travaux Sous Tension
61318,"Live Working - Methods for Assessment of Defects And Verification of Performance Applicable To Tools, Devices And Equipment / Travaux Sous Tension - Méthodes D'Évaluation Des Défauts Et Vérification Des Performances Applicables Aux Outils, Dispositifs Et Équipement",Ed. 4,ULC,"February 24, 2023",,False,Live Working - Method,"Assessment of Defects And Verification of Performance Applicable To Tools, Devices And Equipment",Performance Applicable To Tools,Defects And Verification of Performance,Verification of Performance Applicable,Assessment of Defects And Verification,Devices And Equipment
61328,Live Working - Guidelines for The Installation of Transmission And Distribution Line Conductors And Earth Wires - Stringing Equipment And Accessory Items / Travaux Sous Tension - Lignes Directrices Pour L'Installation Des Conducteurs Et Câbles De Garde Des Lignes De Transport - Équipement De Déroulage Et Accessoires,Ed. 3,ULC,"August 26, 2021",,False,Live Working - Guide,The Installation of Transmission And Distribution Line Conductors And Earth Wires - Stringing Equipment And Accessory Items,Stringing Equipment And Accessory Items,Line Conductors And Earth Wires,Transmission And Distribution Line Conductors,Distribution Line Conductors And Earth,Stringing Equipment And Accessory
61472,"Live Working – Minimum Approach Distances for A.C. Systems In The Voltage Range 72,5 Kv To 800 Kv – A Method of Calculation",Ed. 1,ULC,"May 01, 2014",ululc,False,,"Live Working – Minimum Approach Distances for A.C. Systems In The Voltage Range 72,5 Kv To 800 Kv – A Method of Calculation",Minimum Approach Distances,Minimum Approach,Live Working,Approach Distances,Systems In The Voltage Range
61472- 2,"Live Working - Minimum Approach Distances - Part 2: Method of Determination of The Electrical Component Distance for Ac Systems From 1,0 Kv To 72,5 Kv / Travaux Sous Tension - Distances Minimales D'Approche - Partie 2: Méthode De Détermination De La Distance Du Composant Électrique Pour Les Réseaux En Courant Alternatif De Tension Comprise Entre 1,0 Kv Et 72,5 Kv",Ed. 1,ULC,"February 24, 2023",,False,,"Live Working - Minimum Approach Distances - Part 2: Method of Determination of The Electrical Component Distance for Ac Systems From 1,0 Kv To 72,5 Kv",Minimum Approach Distances,Electrical Component Distance,Determination of The Electrical Component,Component Distance for Ac Systems,Minimum Approach
61477,"Live Working - Minimum Requirements for The Utilization of Tools, Devices And Equipment Travaux Sous Tension – Exigences Minimales Pour L'Utlisation Des Outils, Dispositifs Et Équipements",Ed. 1,ULC,"August 10, 2012",ululc,False,Live Working - Minimum Requirement,"The Utilization of Tools, Devices And Equipment Travaux Sous Tension – Exigences Minimales Pour L'Utlisation Des Outils, Dispositifs Et Équipements",Exigences Minimales Pour L'Utlisation Des,Minimales Pour L'Utlisation Des Outils,Devices And Equipment Travaux Sous,Equipment Travaux Sous Tension,Pour L'Utlisation Des Outils
61478,Live Working - Ladders of Insulating Material Travaux Sous Tension – Échelles En Matériau Isolant,Ed. 1,ULC,"December 01, 2005",ululc,False,,Live Working - Ladders of Insulating Material Travaux Sous Tension – Échelles En Matériau Isolant,Insulating Material Travaux Sous Tension,Ladders of Insulating Material Travaux,Material Travaux Sous Tension,Insulating Material Travaux Sous,Échelles En Matériau Isolant
61479,Live Working - Flexible Conductor Covers (Line Hoses) of Insulating Material Travaux Sous Tension – Protecteurs De Conducteurs Flexibles En Matériau Isolant,Ed. 1,ULC,"December 01, 2005",canulc,False,,Live Working - Flexible Conductor Covers (Line Hoses) of Insulating Material Travaux Sous Tension – Protecteurs De Conducteurs Flexibles En Matériau Isolant,Insulating Material Travaux Sous Tension,Material Travaux Sous Tension,Insulating Material Travaux Sous,Conducteurs Flexibles En Matériau Isolant,Travaux Sous Tension
61482- 1,Live Working - Portable Phase Comparators for Use On Voltages From 1 Kv To 36 Kv A.C. Travaux Sous Tension - Comparateurs De Phase Portatifs Pour Utilisation A Des Tensions Alternatifs De 1 Kv A 36 Kv,Ed. 1,ULC,"July 01, 2006",ululc,True,,Live Working - Portable Phase Comparators for Use On Voltages From 1 Kv To 36 Kv A.C. Travaux Sous Tension - Comparateurs De Phase Portatifs Pour Utilisation A Des Tensions Alternatifs De 1 Kv A 36 Kv,Portable Phase Comparators,Phase Portatifs Pour Utilisation,Portatifs Pour Utilisation A Des,Utilisation A Des Tensions Alternatifs,Pour Utilisation A Des Tensions
61482- 1-1,"Live Working - Protective Clothing Against The Thermal Hazards of An Electric Arc - Part 1-1: Test Methods - Method 1: Determination of The Arc Rating (Elim, Atpv And/Or Ebt) of Clothing Materials And of Protective Clothing Using An Open Arc / Travaux Sous Tension - Vêtements De Protection Contre Les Dangers Thermiques D'Un Arc Électrique - Partie 1-1: Méthodes D'Essai - Méthode 1: Détermination De La Valeur Assignée D'Arc (Elim, Atpv Et/Ou Ebt) Des Matériaux Pour Vêtements Et Des Vêtements De Protection Utilisant Un Arc Ouvert",Ed. 2,ULC,"August 26, 2021",,False,,"Live Working - Protective Clothing Against The Thermal Hazards of An Electric Arc - Part 1-1: Test Methods - Method 1: Determination of The Arc Rating (Elim, Atpv And/Or Ebt) of Clothing Materials And of Protective Clothing Using An Open Arc",Hazards of An Electric,Hazards of An Electric Arc,Determination of The Arc,Materials And of Protective,Thermal Hazards of An Electric
61482- 2,Live Working - Protective Clothing Against The Thermal Hazards of An Electric Arc - Part 2: Requirements / Travaux Sous Tension - Vêtements De Protection Contre Les Dangers Thermiques D'Un Arc Électrique - Partie 2: Exigences,Ed. 2,ULC,"August 26, 2021",,False,,Live Working - Protective Clothing Against The Thermal Hazards of An Electric Arc - Part 2: Requirements,Protective Clothing Against The Thermal,Hazards of An Electric Arc,Clothing Against The Thermal Hazards,Thermal Hazards of An Electric,Protective Clothing
61496- 1,Standard for Safety of Machinery – Electro-Sensitive Protective Equipment – Part 1: General Requirements And Tests,Ed. 3,UL,"February 09, 2021",uliec,False,Standard,Safety of Machinery – Electro-Sensitive Protective Equipment – Part 1: General Requirements And Tests,General Requirements And Tests,Electro-Sensitive Protective Equipment,Protective Equipment,General Requirements,Requirements And Tests
61496- 2,"Standard for Safety of Machinery - Electro-Sensitive Protective Equipment, Part 2: Particular Requirements for Equipment Using Active Opto-Electronic Protective Devices (Aopds)",Ed. 3,UL,"February 09, 2021",uliec,True,Standard,"Safety of Machinery - Electro-Sensitive Protective Equipment, Part 2: Particular Requirements for Equipment Using Active Opto-Electronic Protective Devices (Aopds)",Active Opto-Electronic Protective Devices,Equipment Using Active Opto-Electronic Protective,Opto-Electronic Protective Devices,Electro-Sensitive Protective Equipment,Active Opto-Electronic Protective
